,idx,title,ingredients,directions,#actions
78770,78770,Stuffed Cabbage,"[""1 whole head cabbage (about 4 lb.)"", ""boiled water"", ""1 large onion, chopped"", ""1 1/2 lb. ground beef"", ""1/2 lb. ground pork"", ""2 eggs, beaten"", ""1/2 c. cooked rice"", ""1 (10 oz.) can condensed tomato soup"", ""2 (15 oz.) cans tomato sauce (Del Monte)"", ""2 tsp. Spatini"", ""1 stick butter (1/4 lb.)""]","[""Remove core from cabbage."", ""Place whole head in a pot with boiling water. cover, cook 3 minutes or until softened enough to pull off individual leaves."", ""Cut thick center stem from each leaf. Chop remaining cabbage."", ""Saute onion in butter; add meat, rice, eggs and Saptini; mix thoroughly."", ""Place a heaping tablespoon of meat mixture on each cabbage leaf."", ""Tuck sides over filling while rolling leaf around filling."", ""Place half the chopped cabbage on bottom of a large pot or Dutch oven or pan (oven)."", ""Fill with layers of the cabbage rolls."", ""Cover with remaining chopped cabbage. Combine tomato soup and tomato sauce, mix until smooth."", ""Pour over cabbage rolls."", ""Cover and bring to boiling."", ""Reduce heat and simmer 1 1/2 hours."", ""Serve cabbage rolls with the sauce.""]",9
82672,82672,Chicken And Dressing Casserole,"[""4 large chicken breasts"", ""1 (10 3/4 oz.) can cream of chicken soup (undiluted)"", ""1 (10 3/4 oz.) can cream of mushroom soup (undiluted)"", ""1 (8 oz.) pkg. herb seasoned stuffing mix (I use Pepperidge Farm)"", ""1/2 c. butter or margarine, melted""]","[""Cook chicken in boiling water until tender."", ""Remove chicken from broth."", ""Strain broth, reserving 2 2/3 cups."", ""Bone chicken and cut into small pieces; set aside."", ""Combine chicken soup with half the broth; mix well and set aside."", ""Combine mushroom soup with remaining broth; mix well and set aside."", ""Combine stuffing mix and butter."", ""Reserve 1/4 cup for garnish."", ""Spoon half of remaining stuffing mixture into a lightly greased 13 x 9 x 2-inch baking dish; top with half the chicken."", ""Cover with chicken soup mixture. Repeat layers."", ""Pour mushroom soup over layers."", ""Sprinkle with reserved stuffing mixture."", ""Cover and refrigerate overnight. Remove casserole from refrigerator 15 minutes before baking. Uncover and bake at 350\u00b0 for 30 to 45 minutes."", ""Yield:"", ""8 to 10 servings.""]",9
98841,98841,Ranch House Steak,"[""3 lb. round steak"", ""1/4 c. flour"", ""2 tsp. dry mustard"", ""1/4 c. oil"", ""1 Tbsp. Worcestershire sauce"", ""1 1/2 tsp. slat"", ""1/8 tsp. pepper"", ""1/2 c. water""]","[""Cut meat in serving size pieces; trim excess fat."", ""Slash edges of meat to prevent curling."", ""Combine flour, mustard, salt and pepper; coat meat with mixture."", ""(Set aside any remaining flour mixture.)"", ""In heavy skillet, brown meat on both sides in hot oil. Add reserved flour mixture to skillet."", ""Combine water and Worcestershire."", ""Stir into mixture in skillet."", ""Cover lightly; cook over low heat for 1 to 1 1/4 hours or until meat is tender."", ""Remove meat."", ""Skim excess fat from pan juices."", ""Drizzle juices over meat.""]",9
106497,106497,Quick Chili,"[""1 lb. ground beef"", ""2 Tbsp. oil"", ""1 c. chopped onions"", ""2 cloves garlic, chopped"", ""2 (15 1/2 oz.) cans kidney beans"", ""1 can tomato soup"", ""1/2 c. water"", ""2 Tbsp. chili powder"", ""1 Tbsp. vinegar"", ""Tabasco sauce"", ""2 lb. lean hamburger"", ""2 c. long grain rice"", ""1 large jar sauerkraut"", ""salt and pepper"", ""1 can tomato soup"", ""1/2 lb. ground veal or pork"", ""2 large cans stewed tomatoes"", ""1 small onion, chopped"", ""3 medium heads cabbage""]","[""Combine uncooked hamburger and veal/pork together."", ""Add onion, 1 cup of stewed tomatoes and 1 cup sauerkraut."", ""Add uncooked rice and mix by hand until rice is mixed in."", ""Remove core from cabbage and steam; leaves should fall off when cooked."", ""Place meat into cabbage leaves; do not overfill since rice will expand."", ""Continue filling and rolling until all meat is used."", ""As rolls are finished, layer in large roasting pan."", ""Cover cabbage rolls with unused cabbage leaves."", ""Pour the remainder of stewed tomatoes and sauerkraut over cabbage rolls."", ""Mix soup with 1 can of water and pour over all."", ""If tomato soup does not completely cover cabbage rolls, add another can of soup."", ""Cook at 350\u00b0 for 2 hours or until rice is cooked.""]",9
110630,110630,Lasy Day Lasagna,"[""1 (12 oz.) container cottage cheese"", ""2 c. shredded mozzarella cheese"", ""2 eggs"", ""1/3 c. chopped parsley"", ""1 tsp. onion powder"", ""1/2 tsp. dried basil leaves"", ""1/8 tsp. pepper"", ""1 (32 oz.) jar spaghetti sauce"", ""3/4 lb. cooked ground beef"", ""9 uncooked lasagna noodles"", ""1/4 c. water"", ""grated parmesan cheese""]","[""In a large bowl, mix eggs with cottage cheese, mozzarella cheese and spices until well blended; set aside."", ""In another bowl, mix together spaghetti sauce and cooked ground beef."", ""In a 12 x 8 x 2 inch baking dish, spread 3/4 cup of the meat sauce."", ""Layer 3 uncooked noodles on top of the meat sauce."", ""Spread with half of the cottage cheese mixture and 1 1/2 cups of meat sauce."", ""Layer 3 more uncooked noodles on top of meat sauce."", ""Spread with remaining cottage cheese mixture."", ""Top with remaining 3 uncooked noodles and remaining meat sauce."", ""Pour water around edges of casserole. Cover tightly with foil."", ""Bake at 375\u00b0 for 45 minutes."", ""Uncover and bake 15 minutes more, or until noodles are tender."", ""Let stand 10 minutes before serving."", ""Serve with grated parmesan cheese. Makes 6 servings.""]",9
126615,126615,Old-Time Fudge,"[""2 c. sugar"", ""3/4 c. milk"", ""2 sq. (2 oz.) unsweetened chocolate, cut up"", ""1 tsp. light corn syrup"", ""2 Tbsp. butter or margarine"", ""1 tsp. vanilla"", ""1/2 c. coarsely chopped nuts""]","[""Line a 9 x 5 x 3-inch loaf pan with foil, extending foil over edges of pan."", ""Butter the foil; set pan aside."", ""Butter the sides of a heavy 2-quart saucepan."", ""In the saucepan combine sugar, milk, chocolate and corn syrup."", ""Cook over medium-high heat to boiling, stirring constantly with a wooden spoon to dissolve sugar."", ""This should take about 5 minutes."", ""Avoid splashing mixture on sides of pan."", ""Carefully clip candy thermometer to side of pan."", ""Cook over medium-low heat, stirring frequently, until thermometer registers 234\u00b0 (soft ball stage)."", ""Mixture should boil at moderate, steady rate over entire surface."", ""Reaching soft ball stage should take 20 to 25 minutes."", ""Remove saucepan from heat."", ""Add the 2 tablespoons butter or margarine and vanilla, but do not stir."", ""Cool, without stirring, to lukewarm (110\u00b0)."", ""This should take about 55 minutes. Remove the candy thermometer from the saucepan."", ""Beat vigorously with the wooden spoon until fudge becomes very thick and just starts to lose its gloss."", ""This should take about 7 minutes total. Quickly turn fudge into prepared pan."", ""While fudge is warm, score it into 1-inch squares."", ""When candy is firm, use foil to lift it out of pan, cut candy into squares."", ""(Or, to make molded shapes, lightly oil small individual candy molds or sheet candy molds. Working quickly, press fudge into molds, then unmold, using wooden picks to loosen corners."", ""Allow molded fudge to set on waxed paper until firm.)"", ""Store tightly covered."", ""Makes 45 pieces or about 1 1/4 pounds.""]",9
129580,129580,Wiener Dip,"[""12 oz. low-fat cottage cheese"", ""5 turkey wieners"", ""1 Tbsp. Smart Beat mayonnaise"", ""1 medium dill pickle"", ""1 Tbsp. vinegar"", ""2 jalapenos (for mild; hot, use 3)"", ""1 tsp. Lawry's seasoned salt""]","[""Empty 12 ounces cottage cheese in blender."", ""Take sharp knife and chop wieners on top of cheese."", ""If your fingers are not bleeding from chopping wieners, cut dill pickle in small pieces on top of previous goodies."", ""Now, put jalapenos in mixture."", ""Then add the seasoned salt and the vinegar."", ""Almost forgot, add the low-fat mayonnaise."", ""Put blender container on the electric mechanism and turn on to about speed 4. As the mixture begins to mix, use a spatula to help the mixture."", ""Caution:"", ""Do not get spatula too far down."", ""You might have some metal in mixture."", ""When all mixture is same color, stop blender."", ""If your spatula is still intact, get a handful of crackers."", ""Put on mixture and eat until full.""]",9
157154,157154,Oven Swiss Steak,"[""1 1/2 lb. boneless beef round steak (3/4-inch thick)"", ""1/4 c. flour"", ""1 tsp. salt"", ""3 Tbsp. Crisco"", ""1 (16 oz.) can stewed tomatoes"", ""1/4 c. shredded processed American cheese (1 oz.)"", ""1/2 c. chopped carrot"", ""1 Tbsp. chopped onion"", ""1/2 tsp. Worcestershire sauce"", ""1/4 c. shredded Swiss cheese (1 oz.)""]","[""Cut meat in 4 portions."", ""Combine flour and salt; pound into meat."", ""Reserve remaining flour for sauce."", ""Brown meat in Crisco; transfer meat to shallow baking dish."", ""Blend reserved flour mixture into pan drippings in skillet."", ""Add tomatoes, celery, carrot, onion and Worcestershire sauce to drippings in skillet and cook."", ""Stir constantly until mixture boils."", ""Pour over meat. Cover and bake at 350\u00b0 for 2 hours or until meat and vegetables are tender."", ""Sprinkle cheese over meat."", ""Return to oven for a few minutes to melt cheese."", ""Serves 4.""]",9
159415,159415,Quills With Spicy Tomato And Bacon Sauce,"[""1 lb. quills, penne or other tubular pasta"", ""2 Tbsp. butter"", ""1/2 c. freshly grated Parmesan or Romano"", ""3 lb. plum or medium tomatoes"", ""1 fresh hot red chili pepper or 1/2 tsp. dried hot chili pepper"", ""2 garlic cloves"", ""3/4 lb. mushrooms"", ""5 to 7 sprigs fresh oregano"", ""4 oz. thick-cut bacon slices"", ""salt and pepper""]","[""Remove the cores from tomatoes and score an \""x\"" on the base of each."", ""Immerse in a pan of boiling water until the skin starts to split, 8 to 15 seconds."", ""Transfer to cold water."", ""When cold, peel off skins."", ""Cut tomatoes crosswise in half; squeeze out the seeds, then coarsely chop each half."", ""Wearing rubber gloves, dice the chili pepper."", ""Finely chop the garlic."", ""Wipe the mushrooms with damp paper towels; trim stems even with caps."", ""Slice them."", ""Strip oregano leaves from stems, reserving leaves for garnish."", ""Chop leaves."", ""Stack bacon slices and cut across in wide strips. Transfer bacon to frying pan."", ""Fry over low heat, stirring occasionally, until the bacon is lightly browned and fat is melted, 5 to 7 minutes."", ""Spoon off most of the fat, leaving about 3 tablespoons to saute mushrooms in."", ""Increase heat and add mushrooms."", ""Cook until mushrooms have softened and most liquid has evaporated, 3 to 5 minutes."", ""Add garlic, chili pepper, oregano, chopped tomatoes with any juice, salt and pepper."", ""Bring to a boil; cover with a lid and simmer, stirring occasionally, until sauce is thick and rich, 25 to 30 minutes."", ""Taste for seasoning. Fill large pot with cold water; bring to a boil and add 1 tablespoon salt."", ""Then add the quills."", ""Simmer until tender, but still chewy, 8 to 10 minutes, stirring occasionally."", ""Drain quills and rinse in hot water."", ""Drain again."", ""Transfer quills to a warmed serving bowl and add butter."", ""Toss with 2 forks until well coated. Spoon over the sauce and half of the grated cheese."", ""Toss together, then sprinkle over a little more cheese and garnish with reserved oregano leaves."", ""Serve immediately with the remaining cheese.""]",9
164205,164205,Chicken And Sausage Gumbo,"[""1 lb. hot smoked sausage, cut in 1/4-inch slices"", ""4 chicken breast halves, skinned"", ""1/4 to 1/3 c. vegetable oil"", ""3/4 to 1 c. flour"", ""1 c. chopped onions"", ""1/2 c. chopped bell pepper"", ""1/2 c. chopped celery"", ""2 qt. hot water"", ""1 tsp. salt"", ""3 cloves garlic, minced"", ""2 bay leaves"", ""2 tsp. creole seasoning"", ""1/2 tsp. whole thyme"", ""1 Tbsp. Worcestershire"", ""1/2 to 1 tsp. hot sauce"", ""1/2 c. chopped green onions""]","[""Brown sausage in Dutch oven over medium heat."", ""Remove and place on paper towels, leaving drippings in Dutch oven."", ""Brown chicken in drippings and remove to paper towel."", ""Reserve drippings."", ""Measure drippings and add enough oil to make 1/2 cup. Heat and add flour to hot oil; cook, stirring constantly, until roux is chocolate colored, but not burned (about 30 minutes)."", ""Add onions, green pepper and celery."", ""Cook until vegetables are tender."", ""Gradually stir in hot water; bring to boil."", ""Return chicken breasts to Dutch oven; add garlic and other 5 ingredients. Reduce heat and simmer, covered, 1 hour."", ""Remove chicken breasts; cool."", ""Return sausage to Dutch oven and cook, uncovered, for 30 minutes."", ""Stir in green onions and simmer 30 more minutes."", ""Add salt."", ""Bone chicken and cut in strips."", ""Add to gumbo."", ""Heat thoroughly."", ""Remove bay leaves."", ""Serve gumbo over cooked rice. Serves 8."", ""Serve with green salad and garlic bread.""]",9
177424,177424,Rice Meatballs,"[""1 lb. ground lean beef"", ""1/2 c. evaporated milk"", ""1 1/2 tsp. salt"", ""1/2 c. raw rice (regular)"", ""2 Tbsp. finely cut onion"", ""1 can tomato sauce"", ""1 1/2 c. water""]","[""Mix ground beef, evaporated milk, raw rice, onion and 1 teaspoon salt in a bowl."", ""With wet hands, shape meat mixture into 8 balls."", ""Put balls into skillet, about 1/2 inch apart."", ""Then mix tomato sauce, 1/2 teaspoon salt and water."", ""Save 3/4 of this mixture for sauce."", ""Pour rest over meatballs."", ""Bring to boil, then cover tightly and cook over low heat 45 minutes."", ""Turn meatballs twice while cooking."", ""When meatballs are done, remove from skillet."", ""Pour saved mixture into skillet and heat until steaming hot."", ""Serve sauce with meatballs."", ""Serves 4.""]",9
181901,181901,Peanut Butter Cookies,"[""1/2 c. soft shortening"", ""1/2 c. peanut butter"", ""1/2 c. sugar"", ""1/2 c. packed brown sugar"", ""1 egg"", ""1 1/2 c. sifted all-purpose flour (measure after sifting)"", ""1/2 tsp. baking powder"", ""3/4 tsp. soda"", ""1/4 tsp. salt"", ""1/2 tsp. vanilla""]","[""Set oven for 375\u00b0 and lightly grease a cookie sheet."", ""Sift flour once, measure, add baking powder, soda and salt."", ""Sift again. Measure sugar with 1/2 cup dry measuring cup."", ""Place in mixing bowl."", ""Use same cup to measure brown sugar."", ""After brown sugar is placed in bowl, measure the shortening and peanut butter."", ""Break egg into a small bowl."", ""Mix shortening, peanut butter, sugars and egg until well mixed."", ""Add the dry ingredients that you have measured and stir in until no flour is showing."", ""Chill dough."", ""Roll into balls the size of a quarter."", ""Place the dough balls 3 inches apart on a cookie sheet."", ""Flatten the balls with a fork dipped in flour making a crisscross design by pressing the fork the other way."", ""Bake about 10 to 12 minutes in a 375\u00b0 oven until set but not brown."", ""Remove from sheet with a spatula and cool on a wire rack. Makes about 3 dozen cookies.""]",9
192503,192503,Greek Wedding Cookies,"[""1 lb. sweet butter"", ""1/4 c. confectioners sugar"", ""1 egg yolk"", ""1/2 c. orange juice"", ""1 oz. brandy, whiskey or ouzo (optional)"", ""3 3/4 c. flour"", ""1/2 c. cornstarch"", ""1/2 c. ground almonds"", ""1 lb. box confectioners sugar for topping""]","[""Allow sweet butter to soften to room temperature."", ""Beat with electric mixer for 10 minutes, until white and creamy."", ""Add sugar, egg yolk, orange juice and brandy, beating all the while until thick as mayonnaise."", ""Sift flour and cornstarch into the bowl and continue mixing."", ""Finish by kneading for 5 minutes."", ""Add nuts last. Pinch off a small piece of dough."", ""(If dough is too soft to work with, do not add more flour, refrigerate for 1 or 2 hours.)"", ""Shape dough in crescents or into small balls, but do not press down or make them flat."", ""This cookie does not rise during baking."", ""(Greek baker's shortcut:"", ""Roll dough into a round log and cut diagonally into 1/2 inch thick slices.)"", ""Place on ungreased cookie sheet, 1/2 inch apart."", ""Bake in preheated oven at 350\u00b0 for 25 minutes."", ""While cookies are baking, sift 1 cup confectioners sugar on a clean shallow pan or waxed paper spread on the counter."", ""Cover the bottom thickly."", ""Using a spatula, transfer hot cookies onto sugar gently, the moment you take them out of the oven."", ""Do not pile them on top of each other, but place them side by side as close as possible. Sift all the remaining sugar on top and sides through a strainer. Cool 4 hours before serving or transferring to a serving dish."", ""The cookies are better the next day and keep well.""]",9
