,idx,title,ingredients,directions,#actions
431,431,Slaw,"[""1/3 c. sugar"", ""3/4 tsp. salt"", ""3/4 tsp. pepper"", ""1 Tbsp. celery seed"", ""1 Tbsp. prepared mustard"", ""1/4 c. apple cider vinegar"", ""1 c. mayonnaise"", ""1 clove garlic"", ""cabbage""]","[""To make dressing mix together sugar, salt, pepper, celery seed, mustard and vinegar."", ""Add mayonnaise, slowly, stirring well. Refrigerate dressing until ready to make slaw."", ""Cut garlic in half, rub salad bowl with cut side of garlic clove."", ""Add cut cabbage."", ""Pour desired amount of dressing over cabbage and mix well."", ""Chill.""]",4
462,462,Chocolate Eclair Dessert,"[""20 (about) graham crackers"", ""2 (4 oz.) pkg. vanilla instant pudding mix"", ""3 1/2 c. milk"", ""8 oz. whipped topping"", ""2 pkg. Choco-bake"", ""2 tsp. light corn syrup"", ""2 tsp. vanilla"", ""3 Tbsp. margarine, softened"", ""1 1/2 c. confectioners sugar"", ""3 Tbsp. milk""]","[""Line a buttered 9 x 13-inch serving dish with half the graham crackers."", ""Beat pudding mix and 3 1/2 cups milk in mixer bowl for 2 minutes."", ""Fold in whipped topping."", ""Layer half the pudding mixture, remaining graham crackers and remaining pudding mixture in prepared dish."", ""Chill for 2 hours."", ""Combine Choco-bake, corn syrup, vanilla and margarine in bowl; beat well."", ""Add confectioners sugar and 3 tablespoons milk alternately, beating well after each addition."", ""Spread over dessert.""]",4
508,508,Raw Gluten,"[""2 lb. whole wheat flour"", ""1 qt. water""]","[""Mix whole wheat flour with water into a firm texture."", ""Make sure all flour is mixed well (medium to firm dough)."", ""Let set for 45 minutes (no less)."", ""Put dough in a colander and while running cold water, continually squeeze dough to wash out starch from mixture."", ""Continue to squeeze dough, while at the same time, making sure dough stays firmly together."", ""Keep rinsing until all graininess is removed and water is clear from rinsing."", ""Cover with water until ready to use."", ""Yield: 1 pound.""]",4
520,520,Bourbon Balls,"[""1/2 c. (1 stick) butter"", ""1 lb. (1 box) 10x confectioners sugar"", ""4 1/2 tsp. 100 proof bourbon"", ""8 sq. (1 oz. each) semi-sweet chocolate, broken into pieces"", ""36 pecan halves""]","[""Beat butter in medium-size bowl until light and fluffy."", ""Beat in gradually 10x confectioners sugar."", ""Slowly beat in bourbon. Chill 1 hour or until mixture is stiff enough to shape."", ""Roll into 1-inch balls."", ""Arrange in single layer on wax paper-lined tray. Chill 1 hour."", ""Melt chocolate in top of double boiler over simmering water."", ""Remove chocolate from heat; cool until a good dipping consistency."", ""Dip bourbon balls with 3-pronged fork halfway into chocolate."", ""Return to wax paper-lined tray."", ""Place pecan half on top of each ball."", ""When all the bourbon balls have been dipped, return tray to refrigerator."", ""Chill about 30 minutes or until firm. Makes about 3 dozen.""]",4
522,522,Cook While You Sleep Cookies,"[""2 egg whites"", ""pinch of salt"", ""1 c. chocolate chips"", ""1/4 tsp. cream of tartar"", ""2/3 c. sugar"", ""1 c. chopped nuts"", ""coconut (optional)""]","[""Preheat oven to 350\u00b0."", ""Beat egg whites until foamy; add salt and cream of tartar."", ""Beat until stiff."", ""Add 2 tablespoons of sugar at a time, beating well after each addition."", ""Stir in vanilla, chocolate chips, nuts and coconut."", ""Drop by teaspoon onto foil lined cookie sheets."", ""Put in the oven and turn off oven immediately."", ""Do not open the door for at least 8 hours."", ""Carefully remove cookies from foil."", ""Makes 40 to 50 cookies.""]",4
525,525,Banana Split Dessert,"[""2 c. crushed graham crackers"", ""2 c. powdered sugar"", ""2 eggs, lightly beaten"", ""1 large can crushed pineapple"", ""1/4 c. crushed nuts"", ""butter"", ""1 tsp. vanilla extract"", ""firm bananas"", ""2 c. whipped cream"", ""maraschino cherries""]","[""Combine cracker crumbs and 6 tablespoons melted butter, mixing well."", ""Press crumb mixture into bottoms of a 13 x 9-inch pan. Combine 1/2 cup butter, sugar, vanilla and eggs."", ""Beat until fluffy."", ""Spread sugar mixture over crumb layer."", ""Slice bananas lengthwise."", ""Arrange over sugar mixture."", ""Spoon pineapple over bananas."", ""Cover pineapple layer with whipped cream."", ""Sprinkle with nuts."", ""Garnish with cherries."", ""Chill for 6 hours before serving.""]",4
545,545,Banana Nut Muffins,"[""1 1/2 c. whole-wheat flour"", ""1 c. chopped walnuts"", ""1/2 c. toasted wheat germ"", ""1/2 c. brown sugar"", ""1 Tbsp. baking powder"", ""1 tsp. cinnamon"", ""1/2 tsp. salt"", ""1/4 tsp. ground nutmeg"", ""2 ripe bananas, mashed"", ""3/4 c. milk"", ""5 Tbsp. melted butter"", ""1 egg"", ""cinnamon sugar (optional)""]","[""Preheat oven to 400\u00b0."", ""Fit 12 muffin cups with paper liners. Coat each with cooking spray."", ""Mix flour, walnuts, wheat germ, brown sugar, baking powder, cinnamon, salt and nutmeg in large bowl."", ""Stir in bananas, milk, butter and egg."", ""Mix just until blended."", ""Using an ice cream scoop, fill muffin cups evenly with batter."", ""Sprinkle with cinnamon sugar, if desired."", ""Bake muffins until a skewer inserted into centers comes out clean, 20 to 22 minutes."", ""Cool 1 minute, then remove from the muffin pan and cool on a wire rack. Makes 1 dozen muffins.""]",4
579,579,Prune Punch Cake,"[""1/2 c. Crisco"", ""2 eggs"", ""1 c. prune juice"", ""1 tsp. soda"", ""1 tsp. cinnamon"", ""1 c. sugar"", ""1 c. cooked prunes"", ""2 c. flour"", ""3/4 tsp. salt"", ""1 1/2 tsp. nutmeg""]","[""Grease and flour a 9 x 13-inch pan."", ""Mix all of the ingredients and pour into prepared pan."", ""Bake at 350\u00b0 until done. Remove cake from oven and top with 2 teaspoons sugar"", ""mixed with the juice of an orange to make 1/3 cup."", ""Put on top of cake while warm."", ""Mix sugar and cinnamon to sprinkle on top, if desired. Cool and cut into squares."", ""Serve with Cool Whip.""]",4
632,632,"Chicken, Broccoli And Cheese Casserole","[""2 bunches fresh broccoli"", ""4 large chicken breasts"", ""1 can broccoli and cheese soup"", ""1/2 can milk"", ""1 lb. mild Cheddar cheese""]","[""Boil chicken breast off of bone; salt and pepper."", ""Remove skin."", ""Boil broccoli in 1/2 cup of water 2 minutes and drain. Cube chicken; mix broccoli, cheese soup and milk together."", ""Pour in bottom of dish."", ""Put drained broccoli on top of chicken mixture."", ""Add finely grated cheese on top."", ""Bake in a 350\u00b0 oven until cheese melts.""]",4
638,638,Yellow Cake(Delicious With Just A Dusting Of Powdered Sugar.)  ,"[""3 c. all-purpose flour"", ""2 c. sugar"", ""1 Tbsp. baking powder"", ""1 1/2 c. milk"", ""1/2 c. margarine or butter, softened"", ""1 1/2 tsp. anise"", ""2 eggs""]","[""In a bowl combine flour, sugar and baking powder."", ""Add milk, margarine and vanilla."", ""Beat with an electric mixer on low speed until combined."", ""Beat on high speed for 2 minutes."", ""Add eggs and beat 2 minutes more."", ""Pour into 2 greased and floured 9 x 1 1/2-inch round baking pans."", ""Bake in a 375\u00b0 oven for 25 to 30 minutes or until a toothpick inserted near the centers comes out clean."", ""Cool on wire racks for 10 minutes."", ""Remove from pans."", ""Cool thoroughly on racks."", ""Serves 12.""]",4
641,641,Dill Rye Bread Dip,"[""1 pt. sour cream"", ""3 Tbsp. parsley flakes"", ""2 tsp. Beau Monde"", ""2 tsp. dill weed"", ""1 pt. Hellmann's mayonnaise (no Miracle Whip)"", ""2 Tbsp. minced onion"", ""3 pkg. corned beef lunch meat"", ""1 round rye bread""]","[""Combine all the ingredients in a large mixing bowl."", ""Tear all the meat into small pieces and mix into dip."", ""Cut round circle in top of bread and remove like a lid."", ""Dip inside of bread out and save."", ""Pour dip into hollowed out bread."", ""Place bread on a platter and put your bread saved around the bread dip.""]",4
661,661,Cornbread Dressing,"[""1 pan of your favorite cornbread"", ""6 slices of white bread"", ""1/2 lb. ground meat"", ""1 stick butter"", ""1 large onion, chopped"", ""6 cloves (small) garlic, minced"", ""1 small bell pepper, chopped"", ""1 tsp. thyme"", ""1 tsp. celery salt"", ""2 eggs, slightly beaten"", ""salt and pepper to taste""]","[""Break both kinds of bread in small pieces."", ""If chicken stock is available, use enough to moisten breads (if not use water)."", ""Heat butter in skillet and add meat, onions, bell pepper, pepper and garlic."", ""Cook until meat is done."", ""Add seasonings."", ""Mix lightly, add bread to mixture."", ""Toss lightly with fork and add eggs; toss again."", ""Put in a greased baking dish and bake 30 minutes at 350 degrees.""]",4
671,671,Bourbon Sweet Potatoes,"[""2 (29 oz.) cans sweet potatoes, drained and mashed"", ""3/4 c. firmly packed brown sugar"", ""1/2 c. butter, melted"", ""1/4 to 1/3 c. bourbon"", ""1/2 tsp. vanilla extract"", ""2 c. miniature marshmallows""]","[""Combine first 5 ingredients, mixing well."", ""Spoon mixture into a lightly greased 1 1/2-quart casserole."", ""Cover and refrigerate for 8 hours or overnight."", ""Remove from refrigerator; let stand 30 minutes."", ""Bake, uncovered, at 350\u00b0 for 25 minutes."", ""Remove from oven; top with marshmallows."", ""Bake an additional 7 minutes or until marshmallows are golden."", ""Yield: 6 to 8 servings.""]",4
717,717,Gran'S Toll House Cookies,"[""1 1/2 c. sifted flour"", ""1 tsp. soda"", ""1 tsp. salt"", ""1 c. shortening"", ""3/4 c. brown sugar, firmly packed"", ""3/4 c. granulated sugar"", ""2 eggs (unbeaten)"", ""1 tsp. hot water"", ""1 c. nut meats, cut fine"", ""2 (14 oz.) pkg. Nestle semi-sweet chocolate, in pieces"", ""2 c. oatmeal (quick or regular; uncooked)"", ""1 tsp. vanilla""]","[""Sift flour once before measuring, then sift with soda and salt. Cream shortening until soft."", ""Add sugars gradually, creaming until light and fluffy."", ""Add eggs one at a time, beating after each addition."", ""Add hot water to creamed mixture, then sifted dry ingredients."", ""Add nut meats, Nestle chocolate and oatmeal and mix thoroughly."", ""Add vanilla and blend well."", ""Drop by half teaspoons on a greased cookie sheet."", ""Nut meats may be omitted."", ""Bake at 375\u00b0 for 8 minutes."", ""Makes 100.""]",4
733,733,Whole Wheat Carrot Cake,"[""1 c. oil"", ""1 c. brown sugar"", ""4 eggs"", ""1/3 c. dry milk powder"", ""1 tsp. baking powder"", ""2 tsp. cinnamon"", ""1 c. chopped walnuts"", ""1 c. sugar"", ""1 tsp. vanilla"", ""2 c. whole wheat flour"", ""1 tsp. soda"", ""1 tsp. salt"", ""3 c. finely shredded carrots""]","[""In large mixing bowl blend oil and sugars until mixed."", ""Add vanilla and beat in eggs, one at a time."", ""In another bowl blend dry ingredients."", ""Add to egg mixture until well blended."", ""By hand, stir in carrots and walnuts."", ""pour into greased and floured tube or Bundt pan."", ""Bake at 350\u00b0 for 50 to 60 minutes."", ""Cool in pan; invert on serving plate and sprinkle with powdered sugar."", ""Could use glaze or cream cheese icing.""]",4
750,750,Fat-Free Banana Crunch Muffins,"[""1 c. all-purpose flour"", ""1/2 c. wheat and barley cereal nuggets"", ""1/2 c. sugar"", ""1/2 tsp. baking powder"", ""1/2 tsp. baking soda"", ""2 medium-size ripe bananas, mashed (about 1 c.)"", ""1/2 c. plain nonfat yogurt"", ""1/4 c. thawed frozen no-cholesterol egg substitute"", ""1/2 tsp. vanilla extract""]","[""About 40 minutes before serving or early in the day:"", ""Preheat oven to 350\u00b0."", ""Spray 24 mini muffin pan cups (1 3/4 x 1-inch) with nonstick cooking spray."", ""In medium bowl, mix first 6 ingredients. In large bowl with wire whisk or fork, mix bananas, yogurt, egg substitute and vanilla; stir in flour mixture just until moistened. Spoon batter into muffin pan cups."", ""Bake muffins 20 minutes or until tops are golden and toothpick inserted in center of muffins comes out clean."", ""Remove from muffin pan cups to wire racks."", ""Serve muffins warm or let cool on wire racks to serve later."", ""Makes 24 muffins."", ""Each muffin contains 55 calories, 0 g fat, 0 mg cholesterol and 65 mg sodium."", ""Calories from fat:"", ""0%.""]",4
760,760,Broccoli Cheese Soup,"[""1 1/2 c. chopped onion"", ""1/2 c. butter or margarine"", ""3/4 c. all-purpose flour"", ""1 (10 1/2 oz.) can condensed chicken broth (undiluted)"", ""1 qt. milk"", ""2 c. sliced carrots, parboiled"", ""1 c. sliced celery, parboiled"", ""2 c. broccoli florets, parboiled"", ""1/2 lb. process American cheese, cut into cubes""]","[""In a large saucepan, saute onion in butter."", ""Add flour and stir to make paste."", ""Gradually add chicken broth and milk."", ""Cook until mixture thickens, about 8 to 10 minutes."", ""Add carrots, celery and broccoli; heat through."", ""Add cheese; heat until cheese is melted and vegetables are tender."", ""Yield:"", ""6 to 8 servings (2 quarts).""]",4
762,762,Barbara Mandrell'S Four Layer Dessert,"[""1 c. flour"", ""1 c. chopped nuts"", ""1/2 c. melted margarine"", ""1 (8 oz.) pkg. cream cheese, softened"", ""1 c. whipped topping"", ""1 small pkg. instant chocolate pudding"", ""1 small pkg. instant vanilla pudding"", ""4 c. milk, divided"", ""1 c. sifted powdered sugar"", ""whipped topping"", ""chopped nuts""]","[""Combine flour, nuts and melted margarine and mix well."", ""Press into bottom of 11 3/4 x 7 1/2-inch baking dish."", ""Bake at 350\u00b0 for 15 minutes."", ""Cool."", ""Combine softened cream cheese and powdered sugar and mix well until blended."", ""Fold in whipped topping. Spread over crust."", ""Chill."", ""Prepare chocolate pudding; mix as directed on package."", ""Spread over cream cheese mixture."", ""Prepare vanilla pudding mix as directed on package and spread over chocolate pudding."", ""Cut into squares and garnish with additional whipped topping and chopped nuts.""]",4
770,770,Hot And Spicy Chicken,"[""3 chicken breasts, skinned, cooked and chopped"", ""10 oz. frozen corn"", ""1/2 c. diced celery"", ""1/2 c. chicken broth"", ""1/2 c. onion (thin wedges)"", ""4 tsp. cornstarch"", ""1 (8 1/2 oz.) pkg. cornbread mix"", ""1 1/2 c. shredded Cheddar cheese"", ""2 (4 oz.) cans diced jalapeno peppers, drained"", ""1/2 c. taco salsa""]","[""Combine chicken, corn, broth, celery and onion."", ""Bring to a boil."", ""Reduce heat; simmer for 15 minutes, uncovered."", ""Add salsa. Stir 2 tablespoons water into cornstarch."", ""Add to chicken mixture. Cook and stir until bubbles."", ""Cook an additional 2 minutes. Prepare cornbread according to package."", ""Pour chicken mixture into a 10 x 6 x 2-inch dish."", ""Sprinkle with cheese and jalapeno peppers. Spoon cornbread on top."", ""Bake for 20 minutes at 425\u00b0.""]",4
771,771,Oven Swiss Steak,"[""1 1/2 lb. round (or sirloin) steak, cut in pieces"", ""16 oz. can Italian seasoned tomatoes"", ""1 envelope Lipton onion soup mix (dry)"", ""salt and pepper to taste"", ""1/4 c. water"", ""large size oven cooking bag""]","[""Shake 1 tablespoon flour in the oven cooking bag."", ""Add all ingredients to bag and squeeze to mix."", ""Tie bag and place in a 9 x 13-inch pan."", ""Slit bag with 6 (1/2\"") cuts to vent."", ""Bake at 325\u00b0 for approximately 2 hours."", ""Slit open and put back in pan to serve.""]",4
825,825,Cinnamon Pull-Aparts,"[""1 bag frozen rolls (Rhodes)"", ""1 small pkg. vanilla or butterscotch pudding mix (regular, not instant)"", ""3/4 c. melted butter"", ""1 tsp. cinnamon"", ""1 c. chopped nuts"", ""3/4 c. brown sugar"", ""1 qt. milk"", ""2/3 lb. butter or margarine"", ""1 1/2 c. sugar"", ""2 tsp. salt"", ""1 tsp. cardamon"", ""3 cakes yeast (fast-rising)"", ""12 c. flour"", ""3 eggs, beaten"", ""1 lb. mixed candied fruit (fruit cake mix)"", ""1 c. raisins"", ""1 pkg. dry yeast or 1 cake yeast (found in the dairy section of the grocery store)"", ""1/4 c. lukewarm water"", ""3/4 c. shortening"", ""1/2 c. sugar"", ""1/2 tsp. salt"", ""4 c. flour"", ""1 c. milk, scalded"", ""3 whole eggs"", ""1 tsp. vanilla""]","[""Soften dry yeast in 1/4 cup lukewarm water."", ""In a large bowl, combine and mix like pie crust until crumbly the shortening, sugar, salt and 2 cups flour."", ""Scald milk and add to the dry ingredients in the bowl."", ""Stir until smooth."", ""Then add whole eggs, one at a time, and beat well. Add softened yeast and vanilla.""]",4
827,827,Hot Tuna Appetizer,"[""1 (7 oz.) can water-packed tuna, drained and flaked"", ""12 anchovy fillets, chopped"", ""3/4 c. chopped green pepper"", ""1/2 c. chopped pimento"", ""1 egg, hard-cooked and chopped"", ""3 green onions, chopped"", ""1 c. Russian dressing"", ""1 1/2 Tbsp. cognac"", ""6 Tbsp. butter"", ""6 thin white bread slices, crusts removed"", ""1 Tbsp. Worcestershire sauce""]","[""In medium bowl, combine tuna, anchovies, green pepper, pimento, egg and 2 tablespoons Russian dressing."", ""Mix well and set aside."", ""In small bowl, mix remaining Russian dressing with cognac and set aside."", ""In hot butter in a chafing dish or larger pan, saute bread until well browned and butter is absorbed."", ""In same pan, spread tuna mixture over bread."", ""Cover with Russian dressing mixture."", ""Sprinkle 1/2 teaspoon Worcestershire sauce over each. Heat over low heat for 5 to 10 minutes or until very hot."", ""Serve immediately.""]",4
875,875,Red Raspberry Cordial,"[""4 c. raspberries"", ""4 c. sugar"", ""2 c. gin or vodka""]","[""In a 1-gallon jar fitted with a lid, combine the raspberries, sugar and the gin."", ""Stir the mixture well."", ""Secure the lid."", ""Let mixture stand, stirring it once a week, for 4 months."", ""Strain the mixture through a cheesecloth lined sieve into a pitcher, pressing hard on the solids."", ""Return it to the jar."", ""Makes about 4 cups.""]",4
901,901,Chicken Cordon Blue,"[""3 chicken breasts (halves)"", ""3 slices Swiss or Jack cheese"", ""3 slices cooked ham"", ""1 tsp. paprika"", ""1/2 c. white wine"", ""1 c. whipping cream"", ""3 Tbsp. flour"", ""1 tsp. salt"", ""pepper to taste"", ""3 Tbsp. butter"", ""1 chicken bouillon cube""]","[""Pound breasts until thin."", ""Lay slice of cheese and ham on each breast; roll and insert toothpicks to secure."", ""Mix flour, salt, pepper and paprika in plastic bag."", ""Put breasts in bag and shake to coat."", ""Melt butter in frying pan and brown chicken rolls on all sides."", ""Add white wine and bouillon cube."", ""Cover and simmer 30 minutes."", ""Remove chicken from pan."", ""Add cream to pan and cook on medium-high for 3 minutes until smooth and creamy."", ""Pour over chicken."", ""Serves 3.""]",4
917,917,Betsy'S Chocolate Fudge Cake,"[""3 sq. unsweetened chocolate"", ""2 1/4 c. sifted flour"", ""2 tsp. baking powder"", ""1/2 tsp. salt"", ""1/2 c. butter"", ""2 1/4 c. packed light brown sugar"", ""3 eggs"", ""1 1/2 tsp. vanilla"", ""1 c. sour cream"", ""1 c. boiling water""]","[""Melt chocolate in small bowl over hot water; cool."", ""Grease and flour 2 to 3 (9-inch) cake pans."", ""Sift flour, baking soda and salt onto wax paper."", ""Beat butter until soft in large bowl."", ""Add brown sugar and eggs; beat with mixer at high speed until light and fluffy (5 minutes)."", ""Beat in vanilla and chocolate."", ""Stir in dry ingredients, alternating with sour cream."", ""Beat well with wooden spoon after each addition."", ""Stir in boiling water (batter will be thin)."", ""Pour into pan and bake at 350\u00b0 for 35 minutes. Cool pans on rack for 10 minutes; turn out on racks."", ""Cool completely and ice with Chocolate Fudge Frosting.""]",4
969,969,Chili Con Carne,"[""1 lb. hamburger"", ""1 medium-size garlic, finely cut"", ""2 to 3 tsp. chili powder"", ""2 tsp. salt"", ""1/4 tsp. pepper"", ""1 (No. 2 1/2) can tomatoes"", ""1/2 c. chopped onion"", ""1 (No. 303) can kidney beans"", ""1/2 lb. spaghetti""]","[""Heat a heavy skillet over moderate heat."", ""Add hamburger, onion and garlic."", ""Stir until meat is browned."", ""Stir in next 3 ingredients well."", ""Turn beans (that have been rinsed in cold water and drained) and tomatoes into meat mixture."", ""Heat to boiling; add spaghetti."", ""Reduce heat to simmer."", ""Cook 30 minutes, stirring often."", ""If chili is too thick, add a little hot water."", ""Serves 4.""]",4
986,986,Old Fashioned Tea Cakes,"[""1 c. butter"", ""2 c. sugar"", ""4 eggs"", ""1 Tbsp. milk"", ""1 tsp. nutmeg"", ""1 tsp. vanilla"", ""4 c. flour (sifted 3 times)"", ""3 Tbsp. baking powder""]","[""Cream butter and sugar."", ""Add eggs one at a time, mixing well after each addition."", ""Add milk, nutmeg and vanilla."", ""Sift flour and baking powder together and combine with other mixture."", ""Add enough additional flour to roll out and cut."", ""Bake on ungreased cookie sheet in oven at 325\u00b0 for 15 minutes."", ""Yield: approximately 4 dozen."", ""Happy eating!""]",4
997,997,Quick Swedish Meatballs,"[""1 lb. ground beef"", ""1 c. soft bread crumbs"", ""1 (3 oz.) pkg. cream cheese"", ""1/4 c. dry onion soup mix"", ""1/4 tsp. salt"", ""1/4 tsp. nutmeg"", ""1 1/2 c. milk"", ""1 pkg. stroganoff sauce mix""]","[""Combine meat, bread crumbs, cheese, soup mix, seasonings and 1/4 cup milk; mix thoroughly (with hands)."", ""Form into small balls. Brown lightly; remove to a baking dish."", ""Drain excess grease, leaving small amount in skillet."", ""Blend in sauce mix and remaining milk (add more or less milk for desired thickness)."", ""Cook until thick and bubbly."", ""Pour over meat balls."", ""Bake in a 350\u00b0 oven for 30 to 45 minutes.""]",4
