,idx,title,ingredients,directions,#actions
5889,5889,Walnut-Pear Sour Cream Cake,"[""1 c. broken walnuts"", ""1/3 c. packed brown sugar"", ""1 tsp. cinnamon"", ""1/4 c. butter"", ""1/3 c. flour"", ""2 medium pears, peeled and diced (2 c.)"", ""2 tsp. lemon juice"", ""1 3/4 c. flour"", ""3/4 tsp. baking powder"", ""1/2 tsp. baking soda"", ""1/4 tsp. salt"", ""1/2 c. butter, softened"", ""1 c. sugar"", ""1 tsp. vanilla"", ""2 eggs"", ""1 (8 oz.) carton sour cream""]","[""Preheat oven to 350\u00b0."", ""Grease 9-inch spring-form pan. Combine 1 cup nuts, brown sugar and cinnamon."", ""For topping, cut 1/4 cup butter and 1/3 cup flour for coarse crumbs."", ""Stir in 1/4 cup of nut mixture."", ""Set both mixtures aside."", ""Toss pears with lemon juice and set aside."", ""Mix the flour, baking powder, soda and salt; set aside."", ""In large bowl beat the 1/2 cup butter, sugar and vanilla."", ""Add eggs one at a time."", ""Add flour mixture and sour cream alternately to batter."", ""Beat on low speed after each addition."", ""Spread 2/3 mixture in prepared pan."", ""Sprinkle with nut mix and layer pears on top."", ""Spread with rest of batter and sprinkle topping."", ""Bake 10 minutes and sprinkle with 1/2 cup more walnuts."", ""Bake 50 minutes more.""]",6
6157,6157,Jelly Snowman Carrot Cake,"[""1 3/4 c. sugar"", ""2 tsp. cinnamon"", ""1 1/2 tsp. baking powder"", ""3/4 c. oil"", ""1 3/4 c. sifted all-purpose flour"", ""3 eggs"", ""1 1/2 tsp. baking soda"", ""3 c. grated carrots"", ""2/3 c. chopped nuts""]","[""Preheat oven to 350\u00b0."", ""Generously grease a snowman shaped pan with shortening and dust with flour or spray with cooking spray. In large mixing bowl, beat sugar and eggs until thickened."", ""Add oil and stir well."", ""Stir together flour, cinnamon, baking powder and soda."", ""Add to egg mixture and mix well."", ""Fold in carrots and nuts. Pour batter into pan and bake 30 to 40 minutes or until wooden pick comes out clean."", ""Cool for 10 minutes."", ""Remove from pan."", ""Decorate as desired."", ""(I take two 8-inch cake pans, use one for the body. Make head and arms out of other."", ""Easy to cut out with sharp knife. I use candy drops for eyes and mouth.)"", ""Fun and easy to make, as you can also use spice cake mix.""]",6
6718,6718,Puerto Rican Pot Roast,"[""4 1/2 to 5 lb. boneless beef chuck roast"", ""1 large onion, sliced"", ""2 Tbsp. cooking oil"", ""1 medium green pepper, diced"", ""1 c. water"", ""1/4 c. cornstarch, dissolved in 1/4 c. water"", ""1 (3 oz.) bottle drained stuffed olives"", ""1/2 c. diced celery"", ""2 (8 oz.) cans tomato sauce"", ""1 tsp. salt"", ""1 tsp. pepper""]","[""Insert olives into deep cut slits in meat."", ""Heat oil in heavy pan and brown well on all sides."", ""Add onion, celery, green pepper, tomato sauce, 1 cup water, salt and pepper."", ""Bring to a boil and cover until meat is tender."", ""Turn meat occasionally during cooking."", ""Remove all meat."", ""Add cornstarch mixture to pan and simmer 10 minutes."", ""Serve sauce over meat slices.""]",6
6721,6721,Marble Cake,"[""1/4 c. cocoa"", ""1/4 c. white sugar"", ""1/4 c. water"", ""1/4 c. red food color"", ""2 1/2 c. Softasilk cake flour"", ""1 1/2 c. sugar"", ""3 tsp. baking powder"", ""5 egg yolks"", ""1/2 c. cooking oil"", ""3/4 c. cold water"", ""2 tsp. vanilla"", ""1/2 tsp. cream of tartar""]","[""Stir cocoa, sugar, food coloring and boiling water."", ""Stir until smooth; set aside and let cool."", ""Sift together flour, sugar, baking powder, egg yolks, oil, cold water and vanilla into mixing bowl; beat until smooth."", ""Spoon or beat for 1 minute."", ""Measure into large bowl egg whites (7 or 8 eggs) and cream of tartar."", ""Beat until egg whites are stiff peaks."", ""Pour egg yolk mixture gradually over beaten whites, gently folding with rubber scraper just until blended."", ""Place 1/2 the batter in another pan or bowl and pour cocoa mixture gradually into it (will go to the bottom of cake pan if mixture is not cool)."", ""Immediately pour alternate layers of dark and light mixtures into ungreased tube pan."", ""Bake at 325\u00b0 for 55 minutes."", ""Use desirable icing.""]",6
6921,6921,Meat Dressing,"[""2 lbs. ground meat (1 lb. may be sausage if preferred)"", ""2 small bags pepperidge farm stuffing"", ""3 c. boiling water"", ""4 chicken bouillon cubes"", ""1 c. chopped celery"", ""1 c. chopped onion"", ""1/4 c. butter/margarine"", ""1 tsp. poultry seasoning"", ""salt/pepper to taste"", ""3 eggs, beaten""]","[""Dissolve bouillon cubes in the boiling water, pour over stuffing crumbs and stir well. Saute celery & onion in butter until tender."", ""Add to crumb mixture."", ""Brown meat/pork and drain well."", ""Stir meat and the rest of the remaining ingredients into the crumb mixture."", ""If it seems too dry, add a little more chicken broth to moisten it."", ""Spoon mixture into a lightly greased 13x9x12 baking dish."", ""Bake at 350\u00b0 for 1 hour or until brown."", ""Serve with traditional Turkey dinner.""]",6
7488,7488,Hot Chicken Sandwich Supreme,"[""1/2 stick butter or margarine"", ""1/2 c. diced green pepper"", ""1 c. sliced mushrooms"", ""4 Tbsp. flour"", ""1 c. chicken stock"", ""1 c. milk"", ""2 Tbsp. diced pimiento"", ""2 1/2 c. diced cooked chicken"", ""salt and pepper"", ""2 egg yolks"", ""2 Tbsp. sherry"", ""8 slices bread (crust trimmed off)"", ""2 eggs (additional)"", ""1/2 c. milk (additional)"", ""3 c. coarsely crushed potato chips"", ""3 Tbsp. blanched almonds""]","[""Heat butter, add green pepper and mushrooms, cook on low heat 5 minutes."", ""Add flour and stir until blended."", ""Slowly add stock and milk."", ""Stir over low heat until thick and smooth."", ""Add pimiento and chicken."", ""Add salt and pepper if desired."", ""Heat thoroughly."", ""Into slightly beaten egg yolks stir a little of the hot sauce."", ""Slowly add the egg mixture to the remaining sauce, stirring constantly."", ""Add sherry."", ""Pour mixture into an 8-inch square pan."", ""Cool, then put in refrigerator several hours or overnight."", ""Cut chicken mixture into 4 squares."", ""Place each square on a slice of bread."", ""Cover with slice of bread."", ""Smooth sides with spatula."", ""Cut each sandwich in half."", ""Beat eggs with 1/4 cup milk."", ""Dip each sandwich half on all sides in egg mixture, then in potato chips."", ""Place on greased baking sheet."", ""Sprinkle almonds on top."", ""Bake 30 minutes at 350\u00b0.""]",6
8303,8303,Fettuccine Alfredo,"[""1 lb. fettuccine noodles"", ""1/2 c. or so heavy cream"", ""8 Tbsp. grated Parmesan cheese or Romano"", ""1 stick (1/2 c.) butter"", ""salt and pepper (fresh ground)""]","[""In small saucepan, melt butter with the cream over low heat to just hot enough to melt the cheese."", ""During this time, cook the pasta."", ""Drain pasta and empty into a warm bowl."", ""Pour cream mixture over noodles, gradually toss in the cheese and mix. Lightly salt to taste and season generously with pepper."", ""Serve with additional cheese on the side."", ""Butter bottom of warm glass bowl to serve pasta.""]",6
8385,8385,Taco Casserole,"[""1 lb. ground beef"", ""1 chopped onion"", ""1 pkg. taco seasoning"", ""1 can pinto beans, drained"", ""1 can chopped Ro-Tel"", ""1 can cream of mushroom soup"", ""corn tortilla chips"", ""grated cheese""]","[""Line casserole dish with broken corn tortilla chips."", ""Brown meat with onion."", ""Drain fat."", ""Add taco seasoning after mixing with water as directed on package."", ""Put meat mixture on top of chips."", ""Put pinto beans on top of meat mixture."", ""Mix Ro-Tel and soup and pour over ingredients."", ""Top with grated cheese."", ""Bake 30 minutes at 350\u00b0."", ""Cover with foil while baking.""]",6
8735,8735,Tasty Loaf,"[""1 1/2 c. mashed ripe bananas (3 to 4)"", ""2/3 c. milk"", ""1 c. Fiber One cereal, crushed"", ""1 tsp. vanilla"", ""1 1/4 c. sugar"", ""1/2 c. (1 stick) margarine or butter, softened"", ""2 eggs"", ""2 1/2 c. flour"", ""3 tsp. baking powder"", ""1 tsp. salt"", ""1 tsp. ground cinnamon""]","[""Heat oven to 350\u00b0."", ""Place oven rack in lowest position. Grease bottoms only of two 8 1/2 x 4 1/2 x 2 1/2-inch loaf pans. In small bowl, mix bananas, milk, cereal and vanilla"", ""with a spoon."", ""Let stand 5 minutes."", ""In a large bowl, mix sugar and margarine."", ""Stir in eggs until well blended."", ""Beat in banana mixture thoroughly."", ""Stir in together remaining ingredients; pour into pans."", ""Bake 50 to 60 minutes or until toothpick inserted into center comes out clean."", ""Cool 10 minutes."", ""Loosen sides of loaves. Remove from pans."", ""Cool completely before slicing."", ""Serve.""]",6
8930,8930,Black Walnut Cake,"[""1/2 c. butter or margarine, softened"", ""1/2 c. shortening"", ""2 c. sugar"", ""5 eggs, separated"", ""1 c. buttermilk"", ""1 tsp. baking soda"", ""2 c. all-purpose flour"", ""1 tsp. vanilla extract"", ""1 c. chopped black walnuts"", ""1 (3 oz.) can flaked coconut"", ""1/2 tsp. cream of tartar"", ""Cream Cheese Frosting"", ""chopped black walnuts""]","[""Cream the butter and shortening."", ""Gradually add sugar, beating well at medium speed of an electric mixer. Add egg yolks, one at a time, beating well after each addition."", ""Combine buttermilk and soda. Stir until soda dissolves. Add flour to creamed mixture alternately with buttermilk mixture, beginning and ending with flour."", ""Mix after each addition. Stir in vanilla. Add 1 cup walnuts and coconut, stirring well."", ""Beat egg whites (at room temperature) and cream of tartar until stiff peaks form."", ""Fold into batter."", ""Pour batter into 3 greased and floured 9-inch round cake pans."", ""Bake at 350\u00b0 for 22 to 25 minutes or until a wooden pick inserted in center comes out clean. Cool in pans 10 minutes. Remove from pans."", ""Let cool completely on wire racks. Spread Cream Cheese Frosting between layers and on top and"", ""sides of cake."", ""Press additional walnuts onto sides of cake.""]",6
8944,8944,Cookies For A Crowd,"[""1/2 c. butter or margarine"", ""1 1/2 c. sugar"", ""1 1/2 c. brown sugar"", ""4 eggs"", ""1 tsp. vanilla"", ""1 (18 oz.) jar chunky peanut butter"", ""2 1/2 tsp. baking soda"", ""1 (18 oz.) box oats"", ""6 to 10 oz. shredded coconut""]","[""In a large mixing bowl beat butter and sugars."", ""Add eggs and vanilla; mix well."", ""Add peanut butter and mix well."", ""Combine baking soda with oats and add to mixture; mix well."", ""Add coconut, mixing all ingredients together well."", ""Form dough into balls about the size of a walnut."", ""Place on ungreased cookie sheet, flatten each cookie with a fork or fingers."", ""Bake at 325\u00b0 for 10 to 12 minutes. Cool on pan for 2 minutes."", ""Remove cookies to wire rack."", ""Store in tightly covered container."", ""Will freeze well."", ""Yields approximately 50 cookies.""]",6
9141,9141,San Francisco Pork Chops,"[""4 pork chops (1/2 to 3/4-inch thick)"", ""1 Tbsp. oil plus 2 tsp. oil"", ""1 clove garlic, minced"", ""4 Tbsp. soy sauce"", ""1/4 tsp. crushed red pepper"", ""2 tsp. cornstarch"", ""4 Tbsp. dry sherry or broth"", ""2 Tbsp. brown sugar"", ""2 Tbsp. water""]","[""Heat 1 tablespoon oil in skillet."", ""Brown chops on both sides. Remove and add more oil if needed."", ""Saute garlic, being careful not to burn."", ""Combine oil, sherry/broth, soy sauce, brown sugar and red pepper for sauce."", ""Place chops in skillet and pour sauce over them. Cover tightly."", ""Simmer over low heat until chops are tender and cooked through, 30 to 35 minutes."", ""Add water 1 to 2 tablespoons at a time to prevent sauce from cooking down."", ""Remove chops to platter."", ""Stir cornstarch in water."", ""Cook until thickened."", ""Pour over chops and serve."", ""Goes good with hot cooked noodles or rice. Serves 4.""]",6
9457,9457,Lentil And Frankfurter Soup,"[""1 Tbsp. salad oil"", ""1 (16 oz.) pkg. frankfurters, cut into 1/2-inch slices"", ""1 medium size red or green pepper, diced"", ""1 large carrot, diced"", ""1 large onion, diced"", ""1 garlic clove, minced"", ""2 medium size celery stalks, diced"", ""1 (16 oz.) pkg. dry lentils"", ""1/4 tsp. pepper"", ""2 chicken flavor bouillon cubes or envelopes""]","[""About 2 hours before serving, in 5-quart Dutch oven over medium-high heat in hot salad oil, cook frankfurters until lightly browned on all sides, stirring frequently."", ""With slotted spoon, remove frankfurters to bowl; cover and refrigerate."", ""In drippings remaining in Dutch oven over medium heat, cook celery, red pepper, carrot, onion and garlic until tender, about 10 minutes, stirring occasionally."", ""Meanwhile, rinse lentils in running cold water and discard any stones or shriveled lentils."", ""Add lentils, pepper, bouillon, 11 cups water and 1 teaspoon salt to vegetable mixture in Dutch oven."", ""Over high heat, heat to boiling."", ""Reduce heat to low; cover and simmer 1 hour or until lentils are very tender and soup has thickened."", ""Return frankfurters to Dutch oven and cook until done.""]",6
10659,10659,Penne All'Arrabbiata(Penne With Hot Pepper And Tomatoes)  ,"[""1 1/2 lb. tomatoes"", ""1/3 c. olive oil"", ""1/2 small red or green hot pepper, chopped"", ""2 garlic cloves, finely chopped"", ""salt to taste"", ""2 Tbsp. chopped parsley"", ""1 lb. penne""]","[""Cut out tomato cores with a sharp knife."", ""Fill a large saucepan 2/3 full with water."", ""Bring water to a boil; add tomatoes."", ""Boil 20 to 25 seconds or until skins begin to split."", ""Place tomatoes in bowl of cold water."", ""Peel cooled tomatoes and cut in half horizontally."", ""Squeeze seeds and juice out of each tomato half. Dice tomatoes."", ""Heat oil in a large skillet."", ""Add hot pepper and garlic."", ""Saute over medium heat about 1 minute."", ""Before garlic changes color, add diced tomatoes."", ""Season with salt."", ""Cook, uncovered, over medium heat 8 to 10 minutes."", ""Stir in parsley and cook 1 to 2 minutes longer."", ""Fill a very large saucepan 2/3 full with salted water."", ""Bring to a boil."", ""Add penne."", ""Bring water back to a boil and cook penne, uncovered, until tender but firm to the bite (al dente) 8 to 10 minutes."", ""Drain penne and place in skillet with sauce."", ""Toss penne and sauce over medium heat until sauce coats penne, 20 to 30 seconds."", ""Serve immediately."", ""Makes 4 to 6 servings.""]",6
10947,10947,Cream Puffs,"[""4 eggs"", ""1 c. boiling water"", ""1 c. flour"", ""1/2 c. butter or margarine"", ""1/2 tsp. salt""]","[""Combine butter, salt and water."", ""Heat to boiling."", ""Add flour to boiling mixture all at once."", ""Beat vigorously until mixture leaves sides of saucepan and does not cling to spoon."", ""Remove from heat. Cool slightly."", ""Add unbeaten one egg at a time."", ""Beat thoroughly after the addition of each egg until mixture is smooth."", ""Drop by tablespoon into well oiled muffin tin or onto baking sheet 2-inches apart."", ""Shape mixture into rounds and pile slightly in the center. Bake at 400\u00b0 for 30 minutes."", ""Lower heat to 350\u00b0 for 10 minutes until firm and dry."", ""Remove from oven."", ""Cool."", ""Cut a slit in the side of each with a sharp knife."", ""Insert cream filling, sweetened whipped cream or fruit."", ""Sprinkle with powdered sugar."", ""Makes 12 average size puffs.""]",6
11305,11305,Braised Chuck Beef Pot Roast,"[""3 to 3 1/2 lb. fresh chuck beef pot roast"", ""2 tsp. garlic salt"", ""1 (1 1/4 oz.) envelope dehydrated onion soup mix (Lipton)""]","[""Sprinkle both sides of meat with garlic salt."", ""Place in 3-quart (13 x 9-inch) glass baking dish."", ""Cover with plastic wrap. Microwave on Simmer for 45 minutes."", ""Turn meat over; re-cover and continue cooking on Simmer for 40 to 45 minutes or until fork-tender."", ""Remove meat and slice meat approximately 1/4-inch thick."", ""Dissolve onion soup mix in hot meat juices; place sliced meat in seasoned meat juice (add sliced onions on top of beef, if desired)."", ""Cover with plastic wrap or glass cover."", ""Microwave on Reheat for 8 to 10 minutes or until heated through."", ""Let stand, covered, 5 minutes before serving."", ""Serves about 8.""]",6
11635,11635,Old-Fashioned Potato Bread,"[""pkg. instant mashed potato"", ""2 pkg. (1/4 oz.) active dry yeast"", ""2 c. warm water (105~ to 115~)"", ""1/4 c. sugar"", ""1 Tbsp. salt"", ""1/2 c. butter or regular margarine, softened"", ""7 1/2 to 7 3/4 c. unsifted all-purpose flour"", ""2 Tbsp. butter or margarine, melted""]","[""Make potatoes for 2 servings, as label directs, using liquid, omitting butter and seasoning."", ""Measure 1 cup."", ""In large bowl, sprinkle yeast over water; stir until dissolved."", ""Stir in sugar and salt until dissolved."", ""Add 1 cup potatoes, butter and 3 1/2 cups flour."", ""With electric mixer at medium speed, beat until smooth, 2 minutes."", ""Gradually add 4 cups flour, mixing with hands until smooth and stiff enough to leave bowl."", ""Add remaining 1/4 cup flour, if needed."", ""Turn out onto lightly floured board."", ""Knead until smooth, electric, small blisters appear on surface, 10 minutes."", ""Place in greased large bowl; turn over."", ""Cover with towel."", ""Let rise in warm place (85\u00b0), until double, 1 hour."", ""Turn out dough onto lightly floured pastry cloth or board."", ""Divide in half."", ""Roll out one-half into a 16 x 8-inch rectangle; roll up from one end."", ""Press ends even, pinch to seal and tuck under loaf. Place, seam side down, in greased 9 x 5 x 3-inch loaf pan."", ""Brush surface lightly with some of the melted butter."", ""Repeat with other half of dough."", ""Let loaves rise in warm place, until tops are rounded, 1 hour."", ""Set oven rack at lowest level."", ""Preheat oven to 400\u00b0."", ""Bake 30 to 40 minutes or until deep golden brown and loaves sound hollow when tapped."", ""If crust becomes too brown, cover with brown paper."", ""Turn out onto wire racks, brush tops with remaining butter."", ""Cool."", ""Makes 2 loaves.""]",6
